date	External	Internal
2015-02-15T14:27:55	2.812	4.563
2015-02-15T14:28:00	2.812	4.563
2015-02-15T14:28:05	2.812	4.563
2015-02-15T14:28:10	2.812	4.563
2015-02-15T14:28:15	2.812	4.563
2015-02-15T14:28:20	2.812	4.563
2015-02-15T14:28:25	2.812	4.500
2015-02-15T14:28:30	2.812	4.500
2015-02-15T14:28:35	2.812	4.500
2015-02-15T14:28:40	2.812	4.500
2015-02-15T14:28:45	2.812	4.500
2015-02-15T14:28:50	2.875	4.500
2015-02-15T14:28:55	2.875	4.438
2015-02-15T14:29:00	2.875	4.500
2015-02-15T14:29:05	2.875	4.500
2015-02-15T14:29:10	2.875	4.500
2015-02-15T14:29:15	2.875	4.500
2015-02-15T14:29:20	2.875	4.500
2015-02-15T14:29:25	2.875	4.438
2015-02-15T14:29:30	2.875	4.438
2015-02-15T14:29:35	2.875	4.438
2015-02-15T14:29:40	2.875	4.438
2015-02-15T14:29:45	2.875	4.438
2015-02-15T14:29:50	2.875	4.438
2015-02-15T14:29:55	2.875	4.438
2015-02-15T14:30:00	2.875	4.438
2015-02-15T14:30:05	2.875	4.438
2015-02-15T14:30:10	2.875	4.438
2015-02-15T14:30:15	2.937	4.438
2015-02-15T14:30:20	2.875	4.375
2015-02-15T14:30:25	2.937	4.438
2015-02-15T14:30:30	2.937	4.438
2015-02-15T14:30:35	2.937	4.438
2015-02-15T14:30:40	2.875	4.375
2015-02-15T14:30:45	2.937	4.375
2015-02-15T14:30:50	2.937	4.375
2015-02-15T14:30:55	2.875	4.313
2015-02-15T14:31:00	2.937	4.375
2015-02-15T14:31:05	2.937	4.375
2015-02-15T14:31:10	2.937	4.375
2015-02-15T14:31:15	2.937	4.375
2015-02-15T14:31:20	2.937	4.313
2015-02-15T14:31:25	2.937	4.375
2015-02-15T14:31:30	2.937	4.313
2015-02-15T14:31:35	2.937	4.313
2015-02-15T14:31:40	2.937	4.313
2015-02-15T14:31:45	2.937	4.313
2015-02-15T14:31:50	2.937	4.313
2015-02-15T14:31:55	2.937	4.313
2015-02-15T14:32:00	2.937	4.313
2015-02-15T14:32:05	2.937	4.313
2015-02-15T14:32:10	2.937	4.313
2015-02-15T14:32:15	2.937	4.313
2015-02-15T14:32:20	2.937	4.313
2015-02-15T14:32:25	3.000	4.313
2015-02-15T14:32:30	3.000	4.250
2015-02-15T14:32:35	3.000	4.313
2015-02-15T14:32:40	3.000	4.313
2015-02-15T14:32:45	3.000	4.250
2015-02-15T14:32:50	3.000	4.250
2015-02-15T14:32:55	3.000	4.313
2015-02-15T14:33:00	3.000	4.250
2015-02-15T14:33:05	3.000	4.250
2015-02-15T14:33:10	3.000	4.313
2015-02-15T14:33:15	3.000	4.250
2015-02-15T14:33:20	3.000	4.250
2015-02-15T14:33:25	3.000	4.313
2015-02-15T14:33:30	3.062	4.250
2015-02-15T14:33:35	3.062	4.250
2015-02-15T14:33:40	3.062	4.250
2015-02-15T14:33:45	3.000	4.250
2015-02-15T14:33:50	3.062	4.188
2015-02-15T14:33:55	3.062	4.250
2015-02-15T14:34:00	3.062	4.250
2015-02-15T14:34:05	3.062	4.188
2015-02-15T14:34:10	3.062	4.188
2015-02-15T14:34:15	3.062	4.250
2015-02-15T14:34:20	3.062	4.188
2015-02-15T14:34:25	3.062	4.188
2015-02-15T14:34:30	3.062	4.188
2015-02-15T14:34:35	3.062	4.250
2015-02-15T14:34:40	3.062	4.188
2015-02-15T14:34:45	3.062	4.188
2015-02-15T14:34:50	3.062	4.188
2015-02-15T14:34:55	3.062	4.188
2015-02-15T14:35:00	3.062	4.188
2015-02-15T14:35:05	3.062	4.188
2015-02-15T14:35:10	3.062	4.125
2015-02-15T14:35:15	3.125	4.188
2015-02-15T14:35:20	3.062	4.188
2015-02-15T14:35:25	3.125	4.188
2015-02-15T14:35:30	3.125	4.188
2015-02-15T14:35:35	3.125	4.125
2015-02-15T14:35:40	3.125	4.125
2015-02-15T14:35:45	3.125	4.188
2015-02-15T14:35:50	3.125	4.188
2015-02-15T14:35:55	3.125	4.188
2015-02-15T14:36:00	3.125	4.188
2015-02-15T14:36:05	3.125	4.188
2015-02-15T14:36:10	3.125	4.125
2015-02-15T14:36:15	3.187	4.188
2015-02-15T14:36:20	3.187	4.188
2015-02-15T14:36:25	3.125	4.188
2015-02-15T14:36:30	3.187	4.125
2015-02-15T14:36:35	3.187	4.125
2015-02-15T14:36:40	3.187	4.125
2015-02-15T14:36:45	3.187	4.188
2015-02-15T14:36:50	3.187	4.188
2015-02-15T14:36:55	3.187	4.125
2015-02-15T14:37:00	3.187	4.125
2015-02-15T14:37:05	3.187	4.125
2015-02-15T14:37:10	3.187	4.125
2015-02-15T14:37:15	3.187	4.125
2015-02-15T14:37:20	3.187	4.125
2015-02-15T14:37:25	3.187	4.188
2015-02-15T14:37:30	3.187	4.125
2015-02-15T14:37:35	3.187	4.125
2015-02-15T14:37:40	3.187	4.188
2015-02-15T14:37:45	3.250	4.125
2015-02-15T14:37:50	3.187	4.125
2015-02-15T14:37:55	3.250	4.125
2015-02-15T14:38:00	3.250	4.125
2015-02-15T14:38:05	3.250	4.125
2015-02-15T14:38:10	3.250	4.125
2015-02-15T14:38:15	3.250	4.188
2015-02-15T14:38:20	3.250	4.125
2015-02-15T14:38:25	3.250	4.125
2015-02-15T14:38:30	3.250	4.125
2015-02-15T14:38:35	3.250	4.125
2015-02-15T14:38:40	3.250	4.125
2015-02-15T14:38:45	3.250	4.125
2015-02-15T14:38:50	3.312	4.063
2015-02-15T14:38:55	3.250	4.125
2015-02-15T14:39:00	3.312	4.125
2015-02-15T14:39:05	3.312	4.125
2015-02-15T14:39:10	3.312	4.063
2015-02-15T14:39:15	3.312	4.125
2015-02-15T14:39:20	3.312	4.125
2015-02-15T14:39:25	3.312	4.063
2015-02-15T14:39:30	3.312	4.125
2015-02-15T14:39:35	3.312	4.063
2015-02-15T14:39:40	3.312	4.125
2015-02-15T14:39:45	3.312	4.125
2015-02-15T14:39:50	3.312	4.125
2015-02-15T14:39:55	3.312	4.125
2015-02-15T14:40:00	3.312	4.063
2015-02-15T14:40:05	3.375	4.125
2015-02-15T14:40:10	3.375	4.125
2015-02-15T14:40:15	3.375	4.125
2015-02-15T14:40:20	3.375	4.063
2015-02-15T14:40:25	3.375	4.063
2015-02-15T14:40:30	3.375	4.063
2015-02-15T14:40:35	3.375	4.125
2015-02-15T14:40:40	3.375	4.125
2015-02-15T14:40:45	3.375	4.063
2015-02-15T14:40:50	3.375	4.125
2015-02-15T14:40:55	3.375	4.125
2015-02-15T14:41:00	3.375	4.063
2015-02-15T14:41:05	3.375	4.125
2015-02-15T14:41:10	3.437	4.125
2015-02-15T14:41:15	3.375	4.125
2015-02-15T14:41:20	3.437	4.063
2015-02-15T14:41:25	3.437	4.125
2015-02-15T14:41:30	3.437	4.125
2015-02-15T14:41:35	3.437	4.063
2015-02-15T14:41:40	3.375	4.063
2015-02-15T14:41:45	3.437	4.063
2015-02-15T14:41:50	3.437	4.125
2015-02-15T14:41:55	3.437	4.125
2015-02-15T14:42:00	3.437	4.063
2015-02-15T14:42:05	3.437	4.125
2015-02-15T14:42:10	3.437	4.125
2015-02-15T14:42:15	3.437	4.063
2015-02-15T14:42:20	3.437	4.063
2015-02-15T14:42:25	3.500	4.063
2015-02-15T14:42:30	3.437	4.063
2015-02-15T14:42:35	3.437	4.000
2015-02-15T14:42:40	3.500	4.125
2015-02-15T14:42:45	3.500	4.125
2015-02-15T14:42:50	3.500	4.125
2015-02-15T14:42:55	3.500	4.063
2015-02-15T14:43:00	3.500	4.063
2015-02-15T14:43:05	3.500	4.063
2015-02-15T14:43:10	3.500	4.063
2015-02-15T14:43:15	3.500	4.063
2015-02-15T14:43:20	3.500	4.063
2015-02-15T14:43:25	3.500	4.063
2015-02-15T14:43:30	3.500	4.063
2015-02-15T14:43:35	3.500	4.063
2015-02-15T14:43:40	3.500	4.063
2015-02-15T14:43:45	3.500	4.063
2015-02-15T14:43:50	3.500	4.063
2015-02-15T14:43:55	3.562	4.063
2015-02-15T14:44:00	3.500	4.063
2015-02-15T14:44:05	3.500	4.063
2015-02-15T14:44:10	3.562	4.063
2015-02-15T14:44:15	3.562	4.000
2015-02-15T14:44:20	3.562	4.063
2015-02-15T14:44:25	3.500	4.063
2015-02-15T14:44:30	3.562	4.125
2015-02-15T14:44:35	3.562	4.063
2015-02-15T14:44:40	3.562	4.063
2015-02-15T14:44:45	3.562	4.125
2015-02-15T14:44:50	3.562	4.063
2015-02-15T14:44:55	3.562	4.063
2015-02-15T14:45:00	3.562	4.063
2015-02-15T14:45:05	3.562	4.125
2015-02-15T14:45:10	3.562	4.063
2015-02-15T14:45:15	3.562	4.063
2015-02-15T14:45:20	3.562	4.125
2015-02-15T14:45:25	3.562	4.063
2015-02-15T14:45:30	3.562	4.063
2015-02-15T14:45:35	3.625	4.063
2015-02-15T14:45:40	3.625	4.063
2015-02-15T14:45:45	3.562	4.125
2015-02-15T14:45:50	3.625	4.063
2015-02-15T14:45:55	3.625	4.063
2015-02-15T14:46:00	3.625	4.125
2015-02-15T14:46:05	3.625	4.063
2015-02-15T14:46:10	3.625	4.063
2015-02-15T14:46:15	3.625	4.063
2015-02-15T14:46:20	3.625	4.063
2015-02-15T14:46:25	3.625	4.063
2015-02-15T14:46:30	3.625	4.063
2015-02-15T14:46:35	3.625	4.063
2015-02-15T14:46:40	3.625	4.125
2015-02-15T14:46:45	3.625	4.125
2015-02-15T14:46:50	3.625	4.063
2015-02-15T14:46:55	3.625	4.063
2015-02-15T14:47:00	3.625	4.063
2015-02-15T14:47:05	3.625	4.063
2015-02-15T14:47:10	3.625	4.063
2015-02-15T14:47:15	3.625	4.063
2015-02-15T14:47:20	3.625	4.063
2015-02-15T14:47:25	3.625	4.063
2015-02-15T14:47:30	3.625	4.063
2015-02-15T14:47:35	3.625	4.000
2015-02-15T14:47:40	3.687	4.063
2015-02-15T14:47:45	3.687	4.000
2015-02-15T14:47:50	3.625	4.063
2015-02-15T14:47:55	3.687	4.063
2015-02-15T14:48:00	3.687	4.063
2015-02-15T14:48:05	3.687	4.063
2015-02-15T14:48:10	3.687	4.000
2015-02-15T14:48:15	3.687	4.000
2015-02-15T14:48:20	3.687	4.063
2015-02-15T14:48:25	3.687	4.000
2015-02-15T14:48:30	3.687	4.000
2015-02-15T14:48:35	3.687	4.000
2015-02-15T14:48:40	3.687	4.000
2015-02-15T14:48:45	3.687	4.063
2015-02-15T14:48:50	3.687	4.063
2015-02-15T14:48:55	3.687	4.063
2015-02-15T14:49:00	3.687	4.000
2015-02-15T14:49:05	3.750	4.000
2015-02-15T14:49:10	3.687	4.000
2015-02-15T14:49:15	3.687	4.000
2015-02-15T14:49:20	3.687	4.000
2015-02-15T14:49:25	3.687	4.063
2015-02-15T14:49:30	3.750	4.000
2015-02-15T14:49:35	3.750	4.000
2015-02-15T14:49:40	3.750	4.063
2015-02-15T14:49:45	3.750	4.063
2015-02-15T14:49:50	3.750	4.000
2015-02-15T14:49:55	3.750	4.000
2015-02-15T14:50:00	3.750	4.000
2015-02-15T14:50:05	3.750	4.063
2015-02-15T14:50:10	3.750	4.063
2015-02-15T14:50:15	3.750	4.000
2015-02-15T14:50:20	3.750	4.063
2015-02-15T14:50:25	3.750	4.000
2015-02-15T14:50:30	3.750	4.063
2015-02-15T14:50:35	3.750	4.125
2015-02-15T14:50:40	3.750	4.063
2015-02-15T14:50:45	3.812	4.063
2015-02-15T14:50:50	3.812	4.063
2015-02-15T14:50:55	3.750	4.063
2015-02-15T14:51:00	3.812	4.063
2015-02-15T14:51:05	3.812	4.063
2015-02-15T14:51:10	3.812	4.063
2015-02-15T14:51:15	3.812	4.063
2015-02-15T14:51:20	3.812	4.000
2015-02-15T14:51:25	3.812	4.063
2015-02-15T14:51:30	3.812	4.125
2015-02-15T14:51:35	3.812	4.063
2015-02-15T14:51:40	3.812	4.063
2015-02-15T14:51:45	3.812	4.125
2015-02-15T14:51:50	3.812	4.000
2015-02-15T14:51:55	3.812	4.063
2015-02-15T14:52:00	3.812	4.063
2015-02-15T14:52:05	3.812	4.063
2015-02-15T14:52:10	3.812	4.063
2015-02-15T14:52:15	3.812	4.063
2015-02-15T14:52:20	3.812	4.063
2015-02-15T14:52:25	3.812	4.000
2015-02-15T14:52:30	3.812	4.063
2015-02-15T14:52:35	3.812	4.063
2015-02-15T14:52:40	3.875	4.063
2015-02-15T14:52:45	3.812	4.063
2015-02-15T14:52:50	3.812	4.063
2015-02-15T14:52:55	3.875	4.063
2015-02-15T14:53:00	3.875	4.063
2015-02-15T14:53:05	3.875	4.063
2015-02-15T14:53:10	3.875	4.063
2015-02-15T14:53:15	3.875	4.063
2015-02-15T14:53:20	3.875	4.063
2015-02-15T14:53:25	3.875	4.063
2015-02-15T14:53:30	3.875	4.000
2015-02-15T14:53:35	3.875	4.125
2015-02-15T14:53:40	3.875	4.000
2015-02-15T14:53:45	3.875	4.125
2015-02-15T14:53:50	3.875	4.063
2015-02-15T14:53:55	3.875	4.125
2015-02-15T14:54:00	3.937	4.063
2015-02-15T14:54:05	3.875	4.063
2015-02-15T14:54:10	3.875	4.063
2015-02-15T14:54:15	3.875	4.063
2015-02-15T14:54:20	3.875	4.063
2015-02-15T14:54:25	3.937	4.063
2015-02-15T14:54:30	3.937	4.063
2015-02-15T14:54:35	3.937	4.125
2015-02-15T14:54:40	3.937	4.063
2015-02-15T14:54:45	3.937	4.063
2015-02-15T14:54:50	3.937	4.125
2015-02-15T14:54:55	3.937	4.063
2015-02-15T14:55:00	3.937	4.063
